債券代碼,債券簡稱,停止轉(交)換起日,停止轉(交)換迄日,停止轉(交)換事由
22362,百達二KY,2025/11/21,2025/12/16,配股配息
22471,汎德永業一,2025/12/18,2026/01/14,配股配息
22472,汎德永業二,2025/12/18,2026/01/14,配股配息
24423,新美齊三,2025/12/16,2026/01/12,現金增資
24424,新美齊四,2025/12/16,2026/01/12,現金增資
25303,華建三,2025/11/20,2025/12/15,配股配息
25304,華建四,2025/11/20,2025/12/15,配股配息
33121,弘憶股一,2025/11/27,2025/12/26,股東臨時會
36804,家登四,2025/11/24,2025/12/17,配股配息
47393,康普三,2025/12/01,2025/12/24,現金增資
47471,強生一,2025/11/25,2025/12/24,股東臨時會
53064,桂盟四,2025/12/03,2025/12/28,配股配息
61112,大宇資二,2025/11/24,2025/12/23,股東臨時會
66292,泰金二KY,2025/12/18,2026/01/14,配股配息
67961,晉弘一,2025/12/09,2026/01/04,現金增資
68041,明係一,2025/12/01,2025/12/24,現金增資
68231,濾能一,2025/11/25,2025/12/24,股東臨時會
82992,群聯二,2025/11/27,2025/12/22,配股配息
84672,波力二KY,2025/12/02,2025/12/27,配股配息
84673,波力三KY,2025/12/02,2025/12/27,配股配息
84891,三貝德一,2025/12/24,2026/01/22,股東臨時會
